time,open,high,low,close,volume
2019-08-24,0.58,0.8888,0.5207,0.539,2986660.21
2019-08-25,0.539,0.741,0.5017,0.7049,5369668.65
2019-08-26,0.707,0.76,0.6096,0.6205,3697824.32
2019-08-27,0.613,0.6469,0.5555,0.5705,1113530.16
2019-08-28,0.569,0.5893,0.4829,0.4899,770194.91
2019-08-29,0.4898,0.518,0.455,0.4762,537037.35
2019-08-30,0.4762,0.55,0.4628,0.48,682338.1
2019-08-31,0.48,0.4935,0.4655,0.4715,176851.27
2019-09-01,0.4761,0.5099,0.466,0.475,269560.7
2019-09-02,0.4788,0.4824,0.4502,0.463,295295.49
2019-09-03,0.4643,0.4665,0.437,0.458,336137.89
2019-09-04,0.4577,0.4898,0.4321,0.4401,320410.71
2019-09-05,0.4373,0.4775,0.4285,0.4397,280982.9
2019-09-06,0.434,0.4408,0.3958,0.4015,208219.59
2019-09-07,0.4015,0.4393,0.3922,0.4107,231830.08
2019-09-08,0.4121,0.4562,0.41,0.4324,201806.16
2019-09-09,0.4322,0.4459,0.4047,0.4078,292476.66
2019-09-10,0.4112,0.4211,0.398,0.4048,305004.73
2019-09-11,0.4072,0.4116,0.3822,0.3887,109277.34
2019-09-12,0.3918,0.4016,0.3605,0.3611,152717.34
2019-09-13,0.3616,0.3749,0.3546,0.3581,153844.6
2019-09-14,0.3573,0.3686,0.35,0.3646,52799.84
2019-09-15,0.3678,0.394,0.3591,0.382,141924.87
2019-09-16,0.3806,0.381,0.3507,0.367,232347.84
2019-09-17,0.367,0.3805,0.358,0.379,144062.52
2019-09-18,0.3757,0.447,0.37,0.4132,315890.66
2019-09-19,0.4133,0.4176,0.378,0.3957,187664.74
2019-09-20,0.3983,0.4344,0.3889,0.4164,161821.29
2019-09-21,0.4164,0.4229,0.3927,0.3963,113932.78
2019-09-22,0.3929,0.3988,0.3624,0.3659,194614.15
2019-09-23,0.3644,0.3691,0.3468,0.35,192074.88
2019-09-24,0.35,0.3666,0.2625,0.2977,286853.39
2019-09-25,0.2977,0.3179,0.2698,0.2981,118993.09
2019-09-26,0.2949,0.3294,0.2733,0.2858,141270.74
2019-09-27,0.2891,0.3137,0.2829,0.3096,128795.98
2019-09-28,0.3137,0.3202,0.3039,0.3153,83806.56
2019-09-29,0.3154,0.3154,0.29,0.2977,72816.26
2019-09-30,0.2977,0.3221,0.2953,0.3105,105406.51
2019-10-01,0.3111,0.3209,0.2989,0.302,115209.97
2019-10-02,0.302,0.3235,0.2998,0.3213,138029.34
2019-10-03,0.321,0.3325,0.3091,0.3201,159082.44
2019-10-04,0.32,0.329,0.3091,0.3217,58835.85
2019-10-05,0.3217,0.3261,0.3125,0.3222,84677.95
2019-10-06,0.323,0.323,0.3074,0.3171,92150.15
2019-10-07,0.3162,0.34,0.31,0.337,115695.96
2019-10-08,0.3391,0.3746,0.3326,0.3536,304454.41
2019-10-09,0.3536,0.3657,0.3398,0.3599,313127.31
2019-10-10,0.3599,0.372,0.351,0.3523,169415.58
2019-10-11,0.352,0.3797,0.345,0.3498,270038.4
2019-10-12,0.3497,0.3544,0.3332,0.345,110463.57
2019-10-13,0.3433,0.3455,0.3276,0.3347,93001.63
2019-10-14,0.3332,0.345,0.3301,0.3446,77967.69
2019-10-15,0.345,0.3662,0.3346,0.339,190162.56
