time,open,high,low,close,volume,ema_s,ema_l,ema_cross
2018-01-01 00:00:00,733.01,734.52,720.03,727.62,2105.901,,,0
2018-01-01 01:00:00,727.01,732.0,716.8,717.97,2305.970860000001,,,0
2018-01-01 02:00:00,717.67,725.75,717.59,724.05,2166.45725,,,0
2018-01-01 03:00:00,723.95,737.99,722.7,734.5,2160.9045,,,0
2018-01-01 04:00:00,734.99,744.98,730.01,744.82,2335.33705,,,0
2018-01-01 05:00:00,744.78,750.0,742.08,748.99,2289.19266,,,0
2018-01-01 06:00:00,748.91,762.18,746.21,762.18,2504.12876,,,0
2018-01-01 07:00:00,762.18,763.55,750.0,751.99,2363.68887,,,0
2018-01-01 08:00:00,751.77,758.1,737.4,745.0,2384.46369,,,0
2018-01-01 09:00:00,744.08,755.0,744.08,753.21,1817.60549,,,0
2018-01-01 10:00:00,754.22,759.0,750.0,757.1,1619.87095,,,0
2018-01-01 11:00:00,757.07,758.0,730.58,741.01,3117.428380000001,,,0
2018-01-01 12:00:00,741.01,748.8,737.74,745.0,2263.7879,,,0
2018-01-01 13:00:00,746.52,747.06,729.79,738.93,2714.39907,,,0
2018-01-01 14:00:00,738.99,744.67,724.15,742.74,3771.6487899999997,,,0
2018-01-01 15:00:00,742.41,752.27,738.37,748.8,2534.25088,,,0
2018-01-01 16:00:00,748.27,748.91,733.0,739.08,1888.0076199999999,,,0
2018-01-01 17:00:00,739.25,747.18,735.59,737.02,2244.68377,,,0
2018-01-01 18:00:00,737.01,743.58,734.0,742.98,1626.9916699999999,,,0
2018-01-01 19:00:00,742.98,749.98,741.64,746.23,1997.3205600000001,,,0
2018-01-01 20:00:00,746.23,758.25,744.39,757.42,1982.94137,,,0
2018-01-01 21:00:00,757.42,762.62,756.51,759.28,1990.76184,,,0
2018-01-01 22:00:00,759.0,760.99,752.04,754.58,1624.19188,,,0
2018-01-01 23:00:00,754.56,757.73,750.46,754.99,2099.32404,,,0
2018-01-02 00:00:00,754.99,786.55,749.06,784.74,4718.8579,,,0
2018-01-02 01:00:00,784.75,870.0,780.32,854.29,7055.00228,,,0
2018-01-02 02:00:00,850.25,899.5,827.0,857.94,16133.91684,,,0
2018-01-02 03:00:00,857.94,857.98,825.25,826.92,7034.13801,,,0
2018-01-02 04:00:00,827.0,850.0,817.0,833.99,6908.16869,,,0
2018-01-02 05:00:00,833.99,855.26,833.72,842.23,3645.75721,,,0
2018-01-02 06:00:00,842.25,857.0,842.22,846.09,2620.71308,,,0
2018-01-02 07:00:00,846.99,852.0,841.99,847.6,2403.53204,,,0
