time,open,high,low,close,volume
2020-08-13,4.8,43.0,4.8,6.6554,4401320.43
2020-08-14,6.6755,7.1866,5.9999,6.1723,1092018.81
2020-08-15,6.1717,6.4994,5.6161,5.995,820325.2
2020-08-16,5.995,6.4,5.9,6.1129,337278.41
2020-08-17,6.1129,6.1833,5.7014,6.157,489352.23
2020-08-18,6.1217,6.664,5.6318,5.73,767187.74
2020-08-19,5.7536,5.9271,5.0714,5.2541,503913.22
2020-08-20,5.2541,5.5445,4.9608,5.3627,452362.14
2020-08-21,5.343,5.3481,4.7802,4.9037,461136.39
2020-08-22,4.9318,5.55,4.58,5.3537,769000.52
2020-08-23,5.3508,6.3672,5.1473,6.1525,1206057.83
2020-08-24,6.1525,7.3595,6.1525,6.8723,1761648.06
2020-08-25,6.8796,7.6064,6.4501,7.2754,1487728.97
2020-08-26,7.2599,10.8888,7.1361,9.615,3238367.16
2020-08-27,9.615,10.38,7.2101,8.3366,2369819.02
2020-08-28,8.33,8.3836,7.39,7.942,894923.8
2020-08-29,7.942,7.942,7.2143,7.3695,850168.72
2020-08-30,7.358,9.1628,7.2337,8.9414,1332900.2
2020-08-31,8.934,8.957,7.8,8.18,1026924.55
2020-09-01,8.1752,8.5,7.3145,7.4176,630139.63
2020-09-02,7.4171,7.5378,5.7777,6.346,1037862.12
2020-09-03,6.3292,6.3769,4.8275,4.8275,951356.59
2020-09-04,4.8331,5.8977,4.65,5.5276,802123.5
2020-09-05,5.5275,5.6099,4.0,4.3315,674124.81
2020-09-06,4.2696,5.3279,3.7682,4.7415,654329.05
2020-09-07,4.7296,4.925,4.01,4.5307,346788.37
2020-09-08,4.535,4.5557,3.9006,4.0295,293976.57
2020-09-09,4.0295,4.6435,3.9054,4.6143,537347.2
2020-09-10,4.605,4.7498,4.3495,4.6161,673474.69
2020-09-11,4.6142,4.629,4.0826,4.4373,516931.72
2020-09-12,4.4373,4.8829,4.2761,4.786,484229.4
2020-09-13,4.797,5.2719,4.6075,4.9513,1403711.22
2020-09-14,4.9497,5.9946,4.8352,5.5263,1399803.14
2020-09-15,5.5209,5.8195,4.311,4.3375,1284827.85
2020-09-16,4.3369,4.5633,4.1361,4.399,541684.61
2020-09-17,4.3908,4.78,4.1619,4.2963,632442.13
2020-09-18,4.2988,4.55,4.2435,4.3064,462469.63
2020-09-19,4.3125,4.3409,4.04,4.2204,594503.58
2020-09-20,4.2137,4.2507,3.7001,3.7598,642279.93
2020-09-21,3.7582,3.8987,2.9364,3.1695,1545577.13
2020-09-22,3.1747,3.3077,2.9784,3.2898,1261983.41
2020-09-23,3.289,3.3078,3.011,3.111,866429.29
2020-09-24,3.1147,3.3866,3.0143,3.3486,684904.69
2020-09-25,3.3499,3.8389,3.3,3.7734,733126.07
2020-09-26,3.7766,3.7891,3.5001,3.6092,485350.57
2020-09-27,3.6028,3.6591,3.1998,3.3498,768845.31
2020-09-28,3.3537,3.5431,3.3,3.376,597169.72
2020-09-29,3.3711,3.8299,3.3262,3.689,886541.47
2020-09-30,3.689,3.7209,3.4518,3.6753,438510.53
2020-10-01,3.6784,3.8715,3.4852,3.7785,500396.18
2020-10-02,3.777,3.7836,3.3165,3.5226,360459.84
2020-10-03,3.5657,3.6557,3.5151,3.5269,102324.9
2020-10-04,3.5157,3.591,3.4478,3.5322,79079.86
2020-10-05,3.527,3.6,3.4787,3.5544,51623.02
2020-10-06,3.5542,3.5843,3.3,3.3478,111951.84
2020-10-07,3.3478,3.3964,3.1609,3.3091,238535.98
2020-10-08,3.3155,3.45,3.1847,3.4159,121002.31
2020-10-09,3.4078,3.7195,3.3208,3.6765,113875.65
2020-10-10,3.6703,3.7956,3.6389,3.664,129750.7
2020-10-11,3.6557,3.8891,3.5289,3.8502,144678.6
2020-10-12,3.847,3.8603,3.59,3.7107,143075.5
2020-10-13,3.7101,3.7241,3.5424,3.6076,123672.19
2020-10-14,3.6093,3.6093,3.4,3.4348,83178.32
2020-10-15,3.4369,3.4369,3.2,3.2946,114491.86
2020-10-16,3.2998,3.4166,3.1512,3.1788,139740.05
2020-10-17,3.1889,3.2813,3.154,3.2298,45148.56
2020-10-18,3.2381,3.3914,3.2365,3.3078,54077.85
2020-10-19,3.3205,3.3205,3.2104,3.2163,49593.18
2020-10-20,3.2191,3.2191,2.8855,2.8855,93875.86
2020-10-21,2.8902,3.1197,2.8304,2.9933,186901.2
2020-10-22,2.9995,3.1695,2.9447,3.134,125945.53
2020-10-23,3.141,3.4202,3.0942,3.349,168335.52
2020-10-24,3.359,3.3591,3.2545,3.313,61951.92
2020-10-25,3.313,3.3241,3.1449,3.1454,67147.91
2020-10-26,3.1532,3.2067,2.9781,3.0166,79293.4
2020-10-27,3.0166,3.6198,3.0136,3.3158,384179.18
2020-10-28,3.316,3.796,3.0448,3.1027,325799.89
2020-10-29,3.0855,3.3056,2.9943,3.0282,180231.24
2020-10-30,3.0265,3.0997,2.9,3.0862,194750.83
2020-10-31,3.0714,3.174,2.9948,3.0901,238077.53
2020-11-01,3.0913,3.165,3.0365,3.0613,54804.28
2020-11-02,3.0674,3.1309,2.8922,2.9996,77745.04
2020-11-03,3.0086,3.0195,2.7781,2.855,148153.29
2020-11-04,2.8682,2.8782,2.6639,2.7775,155606.48
2020-11-05,2.7775,2.9067,2.7004,2.8679,163776.15
2020-11-06,2.8805,3.169,2.8688,3.05,338450.15
2020-11-07,3.047,3.33,2.81,2.9007,425244.14
2020-11-08,2.8936,3.1318,2.8563,3.1086,117106.01
2020-11-09,3.1087,3.1361,2.9927,3.0974,108578.68
2020-11-10,3.0933,3.49,3.071,3.2406,322918.67
2020-11-11,3.2464,3.62,3.2406,3.5594,232995.22
2020-11-12,3.5566,3.563,3.1999,3.2,350242.41
2020-11-13,3.2127,3.6169,3.197,3.5,248874.49
2020-11-14,3.4938,3.4939,3.2159,3.3061,105829.04
2020-11-15,3.3061,3.3784,3.1655,3.2341,128881.83
2020-11-16,3.2241,3.32,3.188,3.2763,144434.36
2020-11-17,3.2763,3.4002,3.1501,3.3315,341418.8
2020-11-18,3.33,3.6,2.9913,3.1859,650004.97
2020-11-19,3.1801,3.1879,3.002,3.0689,184343.26
2020-11-20,3.0704,3.25,3.0704,3.1301,171206.23
2020-11-21,3.1334,3.5038,3.1334,3.4866,372613.68
2020-11-22,3.4879,4.2856,3.4866,3.909,1326010.28
2020-11-23,3.909,4.58,3.8699,4.1584,590777.59
2020-11-24,4.1583,4.3128,3.9324,4.0347,489281.97
2020-11-25,4.0459,4.1088,3.5805,3.7001,375383.25
2020-11-26,3.7,3.7529,2.9736,3.2639,692677.42
2020-11-27,3.2639,3.3663,3.03,3.1438,317582.13
2020-11-28,3.1438,3.3733,3.117,3.2615,545366.17
2020-11-29,3.2614,3.3223,3.1546,3.284,100288.34
2020-11-30,3.2882,3.4599,3.2232,3.4332,249794.02
2020-12-01,3.4271,3.6588,3.0962,3.3131,667887.62
2020-12-02,3.3112,3.4995,3.26,3.4271,349868.42
2020-12-03,3.4296,3.4814,3.3257,3.37,137296.58
2020-12-04,3.3734,3.4462,3.1519,3.19,166113.21
2020-12-05,3.1891,3.2851,3.1536,3.2851,82502.64
2020-12-06,3.28,3.65,3.2119,3.4583,386245.1
2020-12-07,3.4611,3.4977,3.3004,3.3899,268446.28
2020-12-08,3.3899,3.4367,3.0673,3.0833,205231.83
2020-12-09,3.0829,3.179,3.02,3.0626,358590.22
2020-12-10,3.0621,3.096,2.9502,3.0278,170232.24
2020-12-11,3.0313,3.0388,2.82,2.9039,160022.73
2020-12-12,2.9062,3.0112,2.9062,2.9623,83623.89
2020-12-13,2.9623,3.0768,2.9623,3.0039,101383.11
2020-12-14,3.0038,3.02,2.895,2.9581,111748.44
2020-12-15,2.9675,3.15,2.9405,3.068,299548.64
2020-12-16,3.0696,3.1542,3.0286,3.1203,251175.18
2020-12-17,3.1247,3.255,3.0255,3.115,368299.5
2020-12-18,3.1141,3.2008,3.0815,3.1378,161998.69
2020-12-19,3.1379,3.2729,3.1198,3.2005,265309.68
2020-12-20,3.2014,3.2047,3.0403,3.1075,199836.03
2020-12-21,3.1009,3.1042,2.8163,2.8652,154146.45
2020-12-22,2.8708,2.97,2.8163,2.925,161453.65
2020-12-23,2.92,2.9552,2.6083,2.6634,217224.15
2020-12-24,2.6597,2.7951,2.6448,2.7951,175456.99
2020-12-25,2.7911,2.908,2.7809,2.8655,156178.09
2020-12-26,2.8655,2.9079,2.823,2.8733,117230.21
2020-12-27,2.875,3.0,2.7549,2.8976,264874.68
2020-12-28,2.892,3.0811,2.8841,2.9775,343533.6
2020-12-29,2.9776,3.0132,2.9013,2.9819,167313.97
2020-12-30,2.9884,3.1043,2.9238,3.0247,168189.55
2020-12-31,3.0245,3.065,2.9772,3.0563,152702.24
2021-01-01,3.0563,3.2503,3.0468,3.2205,343879.24
2021-01-02,3.2199,3.2253,3.0003,3.1085,194395.43
2021-01-03,3.1085,3.2103,2.96,3.0597,356059.18
2021-01-04,3.0597,3.4338,3.0575,3.3395,577711.28
2021-01-05,3.3388,3.4223,3.1789,3.3004,393143.89
2021-01-06,3.3034,3.6,3.2893,3.4719,426940.68
2021-01-07,3.4719,3.8377,3.3,3.4707,741165.13
2021-01-08,3.4711,3.5967,3.0991,3.2971,412260.32
2021-01-09,3.2971,3.6824,3.1999,3.4863,770208.35
2021-01-10,3.4863,3.9434,3.3801,3.8196,540460.15
2021-01-11,3.826,3.8461,3.0259,3.342,516260.24
2021-01-12,3.342,3.3642,3.0251,3.1671,438162.58
2021-01-13,3.1556,3.35,3.0437,3.2875,309284.33
2021-01-14,3.2907,3.5,3.1747,3.2799,378650.66
2021-01-15,3.2799,3.5761,3.1,3.3493,822544.44
2021-01-16,3.3458,3.65,3.3431,3.4984,609461.76
2021-01-17,3.5027,5.2894,3.4241,4.8616,3878328.75
2021-01-18,4.8569,5.0309,4.1515,4.2703,1463948.48
2021-01-19,4.2703,4.4145,4.0,4.0005,725876.13
2021-01-20,4.0005,4.1753,3.6884,4.0116,622489.52
2021-01-21,4.0231,4.0977,3.41,3.4333,739649.19
2021-01-22,3.4206,3.4864,3.0205,3.3556,688217.84
2021-01-23,3.3655,3.8891,3.2651,3.7132,905639.91
2021-01-24,3.7046,4.4147,3.679,4.2194,1490122.99
2021-01-25,4.2272,4.3933,3.86,3.8703,553943.62
2021-01-26,3.8848,4.207,3.576,3.9919,433267.42
2021-01-27,4.0149,4.0149,3.4245,3.484,519028.66
2021-01-28,3.4975,4.2,3.4577,3.8389,632706.22
2021-01-29,3.8389,3.9905,3.5594,3.7612,486516.82
2021-01-30,3.7546,4.1249,3.7208,3.9521,559365.75
2021-01-31,3.9522,4.39,3.8568,4.166,765942.09
2021-02-01,4.1789,4.5177,4.0532,4.2641,628250.21
2021-02-02,4.2655,4.3009,4.0863,4.1578,360470.01
2021-02-03,4.1578,4.3151,4.0202,4.2461,959892.04
2021-02-04,4.2425,4.8115,4.1625,4.5,1105745.06
2021-02-05,4.509,6.6998,4.5,5.9454,3471930.9
2021-02-06,5.9262,6.0841,5.102,5.4781,1576173.79
2021-02-07,5.4667,5.6035,4.6413,5.1912,1084859.11
2021-02-08,5.1915,5.7839,5.0516,5.5688,1008822.27
2021-02-09,5.5687,5.855,5.3366,5.8009,1049805.95
2021-02-10,5.7852,5.9777,5.0098,5.4846,1057189.52
